"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row589","Dust II",6,16,15,4,17,3,38,"Lost"
"Row590","Dust II",0,11,7,1,9,0,15,"Lost"
"Row591","Mirage",6,16,7,3,12,1,17,"Win"
"Row592","Dust II",6,16,10,2,19,1,31,"Lost"
"Row593","Dust II",4,16,8,4,18,1,20,"Lost"
"Row594","Dust II",16,9,12,6,21,1,36,"Win"
"Row595","Dust II",13,16,15,14,21,2,50,"Lost"
"Row596","Dust II",16,7,10,0,22,2,25,"Lost"
"Row597","Dust II",16,9,18,3,21,2,50,"Lost"
"Row598","Dust II",16,2,26,2,10,6,58,"Win"
"Row599","Dust II",7,16,15,4,16,3,40,"Win"
"Row600","Dust II",12,16,13,5,21,1,38,"Lost"
"Row601","Cache",16,14,12,3,11,3,29,"Win"
"Row602","Mirage",6,16,9,7,20,0,27,"Lost"
"Row603","Mirage",16,8,20,5,14,3,53,"Win"
"Row604","Mirage",4,16,7,4,18,0,18,"Lost"
"Row605","Cache",8,16,6,12,22,1,32,"Lost"
"Row606","Dust II",16,10,16,3,24,0,37,"Win"
"Row607","Inferno",16,4,13,4,19,0,37,"Lost"
"Row608","Dust II",2,16,10,2,9,0,25,"Win"
"Row609","Mirage",16,14,29,5,23,5,81,"Lost"
"Row610","Mirage",14,16,16,8,19,1,51,"Win"
"Row611","Dust II",16,2,1,2,0,0,4,"Win"
"Row612","Dust II",9,16,11,9,19,1,34,"Lost"
"Row613","Cobblestone",12,16,16,5,21,4,48,"Win"
"Row614","Mirage",16,8,6,0,7,2,15,"Win"
"Row615","Dust II",16,4,11,4,16,0,28,"Lost"
"Row616","Mirage",16,7,5,0,10,0,13,"Lost"
"Row617","Mirage",16,9,15,3,20,3,36,"Win"
"Row618","Cache",16,10,19,2,18,3,48,"Win"
"Row619","Mirage",16,2,5,4,10,1,22,"Win"
"Row620","Mirage",16,7,17,5,14,2,47,"Win"
"Row621","Dust II",16,8,19,5,17,2,47,"Win"
"Row622","Dust II",16,13,16,4,21,3,40,"Lost"
"Row623","Dust II",16,13,20,5,23,2,54,"Lost"
"Row624","Inferno",16,7,13,5,16,3,36,"Win"
"Row625","Mirage",1,11,7,2,4,1,25,"Win"
"Row626","Overpass",16,2,13,0,16,1,28,"Lost"
"Row627","Cache",16,13,26,7,21,2,66,"Win"
"Row628","Cache",16,8,26,5,16,3,68,"Lost"
"Row629","Nuke",16,11,4,2,4,0,10,"Win"
"Row630","Inferno",13,16,14,6,16,3,38,"Lost"
"Row631","Dust II",16,13,12,4,21,1,29,"Lost"
"Row632","Mirage",16,8,16,4,17,3,45,"Lost"
"Row633","Mirage",16,6,17,3,18,3,48,"Lost"
"Row634","Mirage",15,15,32,7,25,5,82,"Tie"
"Row635","Mirage",4,16,24,3,8,4,64,"Win"
"Row636","Inferno",1,16,8,7,8,0,28,"Win"
"Row637","Mirage",3,11,11,2,7,2,32,"Win"
"Row638","Mirage",14,16,18,4,20,2,53,"Lost"
"Row639","Mirage",16,3,16,7,10,4,42,"Win"
"Row640","Mirage",11,16,19,8,20,2,52,"Lost"
"Row641","Dust II",1,10,3,1,9,0,7,"Lost"
"Row642","Mirage",16,14,21,7,25,5,68,"Lost"
"Row643","Dust II",12,16,18,4,23,4,44,"Win"
"Row644","Mirage",16,11,24,2,16,2,63,"Win"
"Row645","Mirage",16,11,27,6,17,2,66,"Win"
"Row646","Dust II",2,16,10,1,17,0,21,"Lost"
"Row647","Dust II",16,7,15,3,17,3,44,"Lost"
"Row648","Mirage",5,16,11,4,19,1,26,"Lost"
"Row649","Inferno",9,16,21,10,20,3,60,"Win"
"Row650","Dust II",16,7,12,1,22,2,25,"Lost"
"Row651","Dust II",10,4,15,3,10,3,33,"Win"
"Row652","Dust II",9,16,11,5,23,1,29,"Lost"
"Row653","Mirage",16,3,13,3,11,1,32,"Win"
"Row654","Mirage",1,16,12,1,9,2,30,"Win"
"Row655","Dust II",16,9,9,2,16,1,28,"Win"
"Row656","Inferno",16,11,10,4,22,0,30,"Lost"
"Row657","Mirage",15,15,23,4,22,2,64,"Tie"
"Row658","Mirage",6,16,9,3,18,1,23,"Lost"
"Row659","Cobblestone",16,7,7,5,15,2,23,"Win"
"Row660","Mirage",16,6,11,1,8,0,29,"Win"
"Row661","Inferno",2,16,12,3,17,0,29,"Lost"
"Row662","Mirage",16,4,11,3,9,1,28,"Win"
"Row663","Cache",16,5,10,4,17,0,31,"Lost"
"Row664","Inferno",15,15,21,3,19,2,54,"Tie"
"Row665","Mirage",12,16,13,2,19,4,42,"Win"
"Row666","Mirage",10,16,16,2,24,1,40,"Lost"
"Row667","Mirage",16,8,15,3,16,1,40,"Win"
"Row668","Dust II",15,15,22,4,23,0,55,"Tie"
"Row669","Mirage",15,15,11,5,21,3,36,"Tie"
"Row670","Inferno",5,16,12,2,14,2,36,"Win"
"Row671","Inferno",3,16,3,0,2,0,11,"Win"
"Row672","Inferno",13,16,16,5,21,0,46,"Lost"
"Row673","Mirage",16,5,13,5,10,1,35,"Win"
"Row674","Mirage",16,11,19,4,15,2,58,"Win"
"Row675","Mirage",16,12,21,4,19,3,54,"Win"
"Row676","Mirage",16,10,16,1,18,5,47,"Win"
"Row677","Dust II",16,9,12,4,20,2,33,"Lost"
"Row678","Mirage",16,8,12,2,20,2,35,"Lost"
"Row679","Dust II",5,16,10,6,13,4,40,"Win"
"Row680","Inferno",8,16,17,1,20,2,37,"Lost"
"Row681","Mirage",11,16,17,4,23,1,53,"Lost"
"Row682","Dust II",12,16,14,6,23,2,40,"Lost"
"Row683","Mirage",16,7,6,3,18,1,24,"Lost"
"Row684","Mirage",16,10,13,7,22,3,41,"Lost"
"Row685","Dust II",16,9,16,5,20,2,48,"Lost"
"Row686","Dust II",8,16,14,3,17,2,33,"Win"
"Row687","Mirage",16,8,22,6,13,6,63,"Win"
"Row688","Dust II",16,8,16,3,13,2,43,"Win"
"Row689","Dust II",15,15,17,8,20,1,51,"Tie"
"Row690","Mirage",15,15,13,3,23,1,40,"Tie"
"Row691","Inferno",2,16,12,0,18,0,24,"Lost"
"Row692","Mirage",16,5,4,0,18,0,10,"Lost"
"Row693","Mirage",16,6,14,6,12,0,39,"Win"
"Row694","Mirage",3,16,6,2,17,0,14,"Lost"
"Row695","Dust II",3,16,9,5,19,0,23,"Lost"
"Row696","Inferno",16,0,7,4,16,0,22,"Lost"
"Row697","Cobblestone",12,16,12,5,20,2,35,"Win"
"Row698","Mirage",16,14,7,6,22,0,26,"Win"
"Row699","Mirage",9,16,12,3,20,1,29,"Lost"
"Row700","Mirage",11,16,20,3,19,1,48,"Lost"
"Row701","Mirage",12,16,12,4,19,2,45,"Win"
"Row702","Mirage",9,16,9,5,20,0,29,"Win"
"Row703","Inferno",16,9,1,1,3,0,3,"Lost"
"Row704","Dust II",2,16,8,5,12,2,28,"Win"
"Row705","Dust II",6,16,13,1,15,1,33,"Win"
"Row706","Dust II",0,16,13,10,8,2,36,"Win"
"Row707","Inferno",16,3,11,4,11,1,27,"Win"
"Row708","Mirage",16,10,17,5,16,2,47,"Win"
"Row709","Inferno",15,15,11,8,23,0,30,"Tie"
"Row710","Inferno",16,5,3,0,6,0,7,"Win"
"Row711","Inferno",14,16,16,2,18,2,41,"Lost"
"Row712","Mirage",14,16,18,5,21,1,44,"Win"
"Row713","Mirage",12,16,13,3,21,1,42,"Win"
"Row714","Inferno",5,16,13,3,15,3,34,"Win"
"Row715","Inferno",16,3,11,1,13,1,25,"Win"
"Row716","Inferno",16,1,15,5,9,4,37,"Win"
"Row717","Inferno",16,1,1,1,6,0,3,"Lost"
"Row718","Inferno",16,9,10,2,17,1,24,"Win"
"Row719","Inferno",16,12,18,5,16,0,42,"Win"
"Row720","Dust II",13,16,17,6,22,2,43,"Win"
"Row721","Mirage",3,16,18,5,9,5,45,"Win"
"Row722","Inferno",15,15,19,2,23,2,45,"Tie"
"Row723","Mirage",9,16,14,5,20,1,41,"Lost"
"Row724","Inferno",16,13,17,3,18,5,45,"Win"
"Row725","Cobblestone",16,12,8,1,18,0,23,"Win"
"Row726","Mirage",6,16,14,2,13,1,41,"Win"
"Row727","Mirage",16,3,7,5,9,0,26,"Win"
"Row728","Mirage",16,4,5,4,18,0,20,"Lost"
"Row729","Mirage",15,15,30,5,19,4,75,"Tie"
"Row730","Dust II",4,16,6,4,18,2,22,"Lost"
